ID,Rot_11,Rot_12,Rot_13,Rot_21,Rot_22,Rot_23,Rot_31,Rot_32,Rot_33,Pos_X,Pos_Y,Pos_Z
41,0.652536,-0.757758,-1.13446e-05,0.757758,0.652536,0.000137481,-9.67744e-05,-9.83076e-05,1,-0.588854,-1.07287,-0.000562546
42,0.828666,-0.559743,2.10249e-05,0.559743,0.828666,0.000119487,-8.43046e-05,-8.72461e-05,1,-0.492922,-0.985524,-0.000568893
43,0.968639,-0.248472,1.90295e-06,0.248472,0.968639,0.000155673,-4.05235e-05,-0.000150318,1,-0.375739,-0.931067,-0.000575459
44,0.982565,-0.18592,3.54888e-05,0.18592,0.982565,0.000110494,-5.5413e-05,-0.000101969,1,-0.267832,-0.909603,-0.000581091
45,0.982382,-0.186884,1.22176e-05,0.186884,0.982382,0.000142067,-3.85524e-05,-0.000137281,1,-0.237564,-0.904903,-0.000582368
46,0.982374,-0.186923,7.0284e-05,0.186923,0.982374,0.000133898,-9.40738e-05,-0.0001184,1,-0.16761,-0.890667,-0.000585908
47,0.982289,-0.187371,2.99082e-05,0.187371,0.982289,8.72593e-05,-4.57283e-05,-8.01099e-05,1,-0.0299716,-0.864463,-0.000593227
48,0.95926,-0.282526,5.32188e-05,0.282526,0.95926,0.000132419,-8.84625e-05,-0.000111989,1,0.0972825,-0.837772,-0.000600069
49,0.883505,-0.468422,-1.28495e-06,0.468422,0.883505,6.84978e-05,-3.09506e-05,-6.112e-05,1,0.138968,-0.822636,-0.000602295
50,0.883046,-0.469286,-1.28773e-05,0.469286,0.883046,0.000127727,-4.85691e-05,-0.000118832,1,0.165948,-0.808289,-0.000603673
51,0.789921,-0.613209,8.86451e-06,0.613209,0.789921,7.0683e-05,-5.03457e-05,-5.03982e-05,1,0.278644,-0.739349,-0.000610483
52,0.598161,-0.801376,-8.72992e-05,0.801376,0.598161,8.1644e-05,-1.32086e-05,-0.000118796,1,0.363671,-0.655682,-0.000617048
53,0.295113,-0.955462,-8.09515e-05,0.955462,0.295113,8.04124e-05,-5.29412e-05,-0.000101077,1,0.398908,-0.59451,-0.000620737
54,0.0928122,-0.995684,-3.18448e-05,0.995684,0.0928122,7.80197e-05,-7.47274e-05,-3.89485e-05,1,0.398113,-0.596419,-0.000620576
55,0.091562,-0.995799,-6.48305e-05,0.995799,0.091562,3.75088e-05,-3.14152e-05,-6.79926e-05,1,0.398164,-0.596831,-0.000620574
56,0.0905512,-0.995892,-4.44226e-05,0.995892,0.0905512,0.000111267,-0.000106787,-5.43154e-05,1,0.398261,-0.596665,-0.000620613
57,0.0905902,-0.995888,-0.000136219,0.995888,0.0905902,0.000117478,-0.000104655,-0.000146302,1,0.398302,-0.596902,-0.000620631
58,0.0906306,-0.995885,-5.89498e-05,0.995885,0.0906306,0.000170289,-0.000164245,-7.41406e-05,1,0.398355,-0.596789,-0.00062066
59,0.0904035,-0.995905,-4.80542e-05,0.995905,0.0904035,7.66705e-05,-7.20123e-05,-5.47887e-05,1,0.398376,-0.596956,-0.00062067
60,0.0905238,-0.995894,-0.000122932,0.995894,0.0905238,4.85878e-05,-3.726e-05,-0.000126826,1,0.398397,-0.596954,-0.000620677
61,0.090344,-0.995911,-6.70186e-05,0.995911,0.090344,8.16829e-05,-7.52941e-05,-7.41241e-05,1,0.398428,-0.59683,-0.000620691
62,0.0904447,-0.995901,-6.99846e-05,0.995901,0.0904447,9.54006e-05,-8.86798e-05,-7.83263e-05,1,0.39844,-0.596826,-0.000620703
63,0.0899035,-0.99595,-7.91068e-05,0.99595,0.0899035,0.000126613,-0.000118988,-9.01694e-05,1,0.398446,-0.596854,-0.000620711
64,0.089313,-0.996004,-0.000106612,0.996004,0.089313,6.41985e-05,-5.442e-05,-0.00011192,1,0.398453,-0.596859,-0.000620719
65,0.0892857,-0.996006,-8.11938e-05,0.996006,0.0892857,0.000119615,-0.000111888,-9.15494e-05,1,0.398457,-0.596862,-0.000620722
66,0.088993,-0.996032,-7.83746e-05,0.996032,0.088993,7.81477e-05,-7.08628e-05,-8.50182e-05,1,0.398459,-0.596875,-0.000620729
67,0.0887946,-0.99605,-5.32078e-05,0.99605,0.0887946,4.8883e-05,-4.39653e-05,-5.73382e-05,1,0.398464,-0.596856,-0.000620734
68,0.0881438,-0.996108,-0.00014358,0.996108,0.0881438,4.71507e-05,-3.43115e-05,-0.000147177,1,0.398467,-0.596845,-0.000620738
69,0.0877459,-0.996143,-9.11506e-05,0.996143,0.0877459,9.72087e-05,-8.88356e-05,-9.93286e-05,1,0.398468,-0.596848,-0.000620739
